|1010103999|,|00000000000000000119|;|1010102999|,|00000000000000900118|
|1010103999|,|00000000000000000039|;|1010102999|,|00000000000000900071|
|1010103999|,|00000000000000000057|;|1010102001|,|00000000000000100119|
|1010103999|,|00000000000000000058|;|1010102002|,|00000000000000000097|
|1010204014|,|00000000000000000143|;|1010102999|,|00000000000000900044|
|1010103999|,|00000000000000000010|;|1010102999|,|00000000000000900037|
|1010103999|,|00000000000000000009|;|1010102999|,|00000000000000900036|
|1010103999|,|00000000000000000105|;|1010102999|,|00000000000000900105|
|1010103999|,|00000000000000000106|;|1010102999|,|00000000000000900106|
|1010103999|,|00000000000000000126|;|1010102001|,|00000000000000100143|
|1010103999|,|00000000000000000007|;|1010102002|,|00000000000000000090|
|1010103999|,|00000000000000000019|;|1010102002|,|00000000000000000096|
|1010103999|,|00000000000000000033|;|1010102999|,|00000000000000900065|
|1010103999|,|00000000000000000034|;|1010102999|,|00000000000000900067|
|1010103999|,|00000000000000000035|;|1010102999|,|00000000000000900068|
|1010103999|,|00000000000000000107|;|1010102999|,|00000000000000900107|
|1010203001|,|00000000000000000873|;|1010204011|,|00000000000000000178|
|1010103999|,|00000000000000000029|;|1010102999|,|00000000000000900061|
|1010103999|,|00000000000000000060|;|1010102001|,|00000000000000100120|
|1010103999|,|00000000000000000110|;|1010102999|,|00000000000000900110|
|1010204014|,|00000000000000000139|;|1010102999|,|00000000000000900042|
|1010103999|,|00000000000000000111|;|1010102999|,|00000000000000900111|
|1010103999|,|00000000000000000109|;|1010102999|,|00000000000000900109|
|1010103999|,|00000000000000000108|;|1010102999|,|00000000000000900108|
|1010103999|,|00000000000000000087|;|1010102999|,|00000000000000900088|
|1010103999|,|00000000000000000095|;|1010102999|,|00000000000000900096|
|1010203001|,|00000000000000000944|;|1010204011|,|00000000000000000177|
|1010103999|,|00000000000000000018|;|1010102001|,|00000000000000100113|
|1010103999|,|00000000000000000112|;|1010102999|,|00000000000000900112|
|1010103999|,|00000000000000000001|;|1010102001|,|00000000000000100109|
|1010204014|,|00000000000000000138|;|1010102999|,|00000000000000900041|
|1010401004|,|00000000000000000204|;|1010102001|,|00000000000000100147|
|1010103999|,|00000000000000000075|;|1010102999|,|00000000000000900086|
|1010204014|,|00000000000000000142|;|1010102999|,|00000000000000900043|
|1010103999|,|00000000000000000073|;|1010102999|,|00000000000000900085|
|1010103999|,|00000000000000000076|;|1010102001|,|00000000000000100133|
|1010103999|,|00000000000000000121|;|1010102999|,|00000000000000900120|
|1010103999|,|00000000000000000028|;|1010102999|,|00000000000000900060|
|1010103999|,|00000000000000000113|;|1010102999|,|00000000000000900113|
|1010103999|,|00000000000000000083|;|1010102001|,|00000000000000100140|
|1010103999|,|00000000000000000118|;|1010102999|,|00000000000000900117|
|1010103999|,|00000000000000000120|;|1010102999|,|00000000000000900119|
|1010103999|,|00000000000000000114|;|1010102999|,|00000000000000900114|
|1010103999|,|00000000000000000026|;|1010102999|,|00000000000000900058|
|1010103999|,|00000000000000000115|;|1010102999|,|00000000000000900115|
|1010103999|,|00000000000000000082|;|1010102001|,|00000000000000100139|
|1010103999|,|00000000000000000021|;|1010102999|,|00000000000000900053|
|1010103999|,|00000000000000000027|;|1010102999|,|00000000000000900059|
|1010103999|,|00000000000000000003|;|1010102002|,|00000000000000000087|
|1010203001|,|00000000000000000579|;|1010204011|,|00000000000000000175|
|1010103999|,|00000000000000000144|;|1010102999|,|00000000000000900134|
|1010103999|,|00000000000000000128|;|1010102999|,|00000000000000900123|
|1010103999|,|00000000000000000123|;|1010102999|,|00000000000000900121|
|1010103999|,|00000000000000000101|;|1010102999|,|00000000000000900101|
|1010103999|,|00000000000000000055|;|1010102001|,|00000000000000100117|
|1010103999|,|00000000000000000122|;|1010102002|,|00000000000000000100|
|1010103999|,|00000000000000000016|;|1010102002|,|00000000000000000095|
|1010103999|,|00000000000000000145|;|1010102999|,|00000000000000900135|
|1010103999|,|00000000000000000093|;|1010102999|,|00000000000000900094|
|1010103999|,|00000000000000000132|;|1010102999|,|00000000000000900124|
|1010103999|,|00000000000000000024|;|1010102999|,|00000000000000900056|
|1010103999|,|00000000000000000133|;|1010102999|,|00000000000000900125|
|1010103999|,|00000000000000000102|;|1010102999|,|00000000000000900102|
|1010103999|,|00000000000000000013|;|1010102002|,|00000000000000000091|
|1010103999|,|00000000000000000124|;|1010102999|,|00000000000000900047|
|1010103999|,|00000000000000000146|;|1010102999|,|00000000000000900136|
|1010103999|,|00000000000000000094|;|1010102999|,|00000000000000900095|
|1010103999|,|00000000000000000091|;|1010102999|,|00000000000000900092|
|1010103999|,|00000000000000000134|;|1010102999|,|00000000000000900126|
|1010103999|,|00000000000000000056|;|1010102001|,|00000000000000100118|
|1010103999|,|00000000000000000125|;|1010102002|,|00000000000000000086|
|1010103999|,|00000000000000000103|;|1010102999|,|00000000000000900103|
|1010103999|,|00000000000000000025|;|1010102999|,|00000000000000900057|
|1010103999|,|00000000000000000092|;|1010102999|,|00000000000000900093|
|1010103999|,|00000000000000000135|;|1010102999|,|00000000000000900127|
|1010103999|,|00000000000000000147|;|1010102999|,|00000000000000900137|
|1010103999|,|00000000000000000136|;|1010102999|,|00000000000000900128|
|1010103999|,|00000000000000000104|;|1010102999|,|00000000000000900104|
|1010103999|,|00000000000000000008|;|1010102999|,|00000000000000900035|
|1010103999|,|00000000000000000116|;|1010102999|,|00000000000000900116|
|1010103999|,|00000000000000000045|;|1010102999|,|00000000000000900077|
|1010501008|,|000006|;|1010305999|,|000353|
|1010501008|,|000025|;|1010305999|,|000368|
|1010501008|,|000019|;|1010305999|,|000361|
|1010501008|,|000017|;|1010305999|,|000344|
|1010501008|,|000021|;|1010305999|,|000364|
|1010501008|,|000004|;|1010305999|,|000355|
|1010501008|,|000015|;|1010305999|,|000359|
|1010601002|,|000163|;|1010701001|,|000031|
|1010103999|,|000061|;|1010102001|,|100121|
|1010103999|,|000004|;|1010102001|,|100111|
|1010103999|,|000078|;|1010102001|,|100135|
|1010103999|,|000040|;|1010102999|,|900072|
|1010103999|,|000062|;|1010102001|,|100122|
|1010103999|,|000079|;|1010102001|,|100136|
|1010103999|,|000005|;|1010102002|,|000088|
|1010103999|,|000065|;|1010102001|,|100125|
|1010103999|,|000041|;|1010102999|,|900073|
|1010103999|,|000006|;|1010102002|,|000089|
|1010103999|,|000080|;|1010102001|,|100137|
|1010103999|,|000090|;|1010102999|,|900091|
|1010103999|,|000043|;|1010102999|,|900075|
|1010103999|,|000020|;|1010102999|,|900048|
|1010103999|,|000051|;|1010102999|,|900083|
|1010103999|,|000046|;|1010102999|,|900078|
|1010103999|,|000023|;|1010102999|,|900055|
|1010103999|,|000042|;|1010102999|,|900074|
|1010103999|,|000052|;|1010102001|,|100114|
|1010103999|,|000141|;|1010102999|,|900132|
|1010103999|,|000142|;|1010102999|,|900133|
|1010103999|,|000148|;|1010102999|,|900138|
|1010103999|,|000137|;|1010102999|,|900129|
|1010103999|,|000138|;|1010102999|,|900130|
|1010103999|,|000139|;|1010102999|,|900131|
|1010103999|,|000017|;|1010102001|,|100112|
|1010103999|,|000100|;|1010102999|,|900100|
|1010103999|,|000098|;|1010102999|,|900143|
|1010103999|,|000097|;|1010102999|,|900098|
|1010103999|,|000096|;|1010102999|,|900097|
|1010103999|,|000053|;|1010102001|,|100115|
|1010103999|,|000119|;|1010102999|,|900118|
|1010103999|,|000039|;|1010102999|,|900071|
|1010103999|,|000057|;|1010102001|,|100119|
|1010103999|,|000058|;|1010102002|,|000097|
|1010204014|,|000143|;|1010102999|,|900044|
|1010103999|,|000010|;|1010102999|,|900037|
|1010103999|,|000009|;|1010102999|,|900036|
|1010103999|,|000105|;|1010102999|,|900105|
|1010103999|,|000106|;|1010102999|,|900106|
|1010103999|,|000126|;|1010102001|,|100143|
|1010103999|,|000007|;|1010102002|,|000090|
|1010103999|,|000019|;|1010102002|,|000096|
|1010103999|,|000033|;|1010102999|,|900065|
|1010103999|,|000034|;|1010102999|,|900067|
|1010103999|,|000035|;|1010102999|,|900068|
|1010103999|,|000107|;|1010102999|,|900107|
|1010203001|,|000873|;|1010204011|,|000178|
|1010103999|,|000029|;|1010102999|,|900061|
|1010103999|,|000060|;|1010102001|,|100120|
|1010103999|,|000110|;|1010102999|,|900110|
|1010204014|,|000139|;|1010102999|,|900042|
|1010103999|,|000111|;|1010102999|,|900111|
|1010103999|,|000109|;|1010102999|,|900109|
|1010103999|,|000108|;|1010102999|,|900108|
|1010103999|,|000087|;|1010102999|,|900088|
|1010103999|,|000095|;|1010102999|,|900096|
|1010203001|,|000944|;|1010204011|,|000177|
|1010103999|,|000018|;|1010102001|,|100113|
|1010103999|,|000112|;|1010102999|,|900112|
|1010103999|,|000001|;|1010102001|,|100109|
|1010204014|,|000138|;|1010102999|,|900041|
|1010401004|,|000204|;|1010102001|,|100147|
|1010103999|,|000075|;|1010102999|,|900086|
|1010204014|,|000142|;|1010102999|,|900043|
|1010103999|,|000073|;|1010102999|,|900085|
|1010103999|,|000076|;|1010102001|,|100133|
|1010103999|,|000121|;|1010102999|,|900120|
|1010103999|,|000028|;|1010102999|,|900060|
|1010103999|,|000113|;|1010102999|,|900113|
|1010103999|,|000083|;|1010102001|,|100140|
|1010103999|,|000118|;|1010102999|,|900117|
|1010103999|,|000120|;|1010102999|,|900119|
|1010103999|,|000114|;|1010102999|,|900114|
|1010103999|,|000026|;|1010102999|,|900058|
|1010103999|,|000115|;|1010102999|,|900115|
|1010103999|,|000082|;|1010102001|,|100139|
|1010103999|,|000021|;|1010102999|,|900053|
|1010103999|,|000027|;|1010102999|,|900059|
|1010103999|,|000003|;|1010102002|,|000087|
|1010203001|,|000579|;|1010204011|,|000175|
|1010103999|,|000144|;|1010102999|,|900134|
|1010103999|,|000128|;|1010102999|,|900123|
|1010103999|,|000123|;|1010102999|,|900121|
|1010103999|,|000101|;|1010102999|,|900101|
|1010103999|,|000055|;|1010102001|,|100117|
|1010103999|,|000122|;|1010102002|,|000100|
|1010103999|,|000016|;|1010102002|,|000095|
|1010103999|,|000145|;|1010102999|,|900135|
|1010103999|,|000093|;|1010102999|,|900094|
|1010103999|,|000132|;|1010102999|,|900124|
|1010103999|,|000024|;|1010102999|,|900056|
|1010103999|,|000133|;|1010102999|,|900125|
|1010103999|,|000102|;|1010102999|,|900102|
|1010103999|,|000013|;|1010102002|,|000091|
|1010103999|,|000124|;|1010102999|,|900047|
|1010103999|,|000146|;|1010102999|,|900136|
|1010103999|,|000094|;|1010102999|,|900095|
|1010103999|,|000091|;|1010102999|,|900092|
|1010103999|,|000134|;|1010102999|,|900126|
|1010103999|,|000056|;|1010102001|,|100118|
|1010103999|,|000125|;|1010102002|,|000086|
|1010103999|,|000103|;|1010102999|,|900103|
|1010103999|,|000025|;|1010102999|,|900057|
|1010103999|,|000092|;|1010102999|,|900093|
|1010103999|,|000135|;|1010102999|,|900127|
|1010103999|,|000147|;|1010102999|,|900137|
|1010103999|,|000136|;|1010102999|,|900128|
|1010103999|,|000104|;|1010102999|,|900104|
|1010103999|,|000008|;|1010102999|,|900035|
|1010103999|,|000116|;|1010102999|,|900116|
|1010103999|,|000045|;|1010102999|,|900077|
